# CGHS rates for treatment at healthcare organisations, Tier I (X) cities, semi private ward.
# Source: Office Memorandum F.No.5-16/CGHS(HQ)/HEC/2024(PartI) dated 03.10.2025, Annexure I (A),
#         effective 13.10.2025, as published by the Directorate General of Health Services, Delhi:
#         https://dgehs.delhi.gov.in/sites/default/files/inline-files/cghs_rate.pdf
# Source file SHA-256: 964b42f58eb0852d93293a658a183cceaafae33ba30a892979262c21695b9746
# Extracted 2026-09-25: 1998 rows, serial numbers 1 to 1998 without gaps, every rate cross checked
# against the source text. Delhi is a Tier I (X) city. Rates in rupees.
sr,code,name,speciality,non_nabh,nabh,super_speciality
1056,EP005,Polyp removal under GA (Larynx),ENT Procedure,7820,9200,9200
1057,EP006,Peritonsillar abscess Drainage under LA,ENT Procedure,7225,8500,8500
1058,EP007,Myringoplasty,ENT Procedure,23375,27500,27500
1059,EP008,Stapedectomy,ENT Procedure,23375,27500,27500
1060,EP009,Myringotomy with Grommet Insertion,ENT Procedure,11390,13400,13400
1061,EP010,Tympanotomy,ENT Procedure,23375,27500,27500
1062,EP011,Tympanoplasty,ENT Procedure,29750,35000,35000
1063,EP012,Mastoidectomy,ENT Procedure,29750,35000,35000
1064,EP013,Otoplasty,ENT Procedure,29750,35000,35000
1065,EP014,Labyrinthectomy,ENT Procedure,29750,35000,35000
1066,EP015,Skull Base Surgery,ENT Procedure,45050,53000,53000
1067,EP016,Facial Nerve Decompression,ENT Procedure,36550,43000,43000
1068,EP017,Septoplasty,ENT Procedure,23375,27500,27500
1069,EP018,Submucous Resection,ENT Procedure,11390,13400,13400
1070,EP019,Septo-Rhinoplasty,ENT Procedure,36550,43000,43000
1071,EP020,Rhinoplasty- Non-cosmetic,ENT Procedure,29750,35000,35000
1072,EP021,Fracture Reduction of Nasal Bone,ENT Procedure,11390,13400,13400
1073,EP022,Intra Nasal Diathermy,ENT Procedure,5100,6000,6000
1074,EP023,Turbinectomy,ENT Procedure,11390,13400,13400
1075,EP024,Endoscopic Dacryocystorhinostomy (DCR),ENT Procedure,29750,35000,35000
1076,EP025,Endoscopic Surgery (ENT),ENT Procedure,29750,35000,35000
1077,EP026,Septal Perforation Repair,ENT Procedure,23375,27500,27500
1078,EP027,Antrum Puncture,ENT Procedure,2550,3000,3000
1079,EP028,Lateral Rhinotomy,ENT Procedure,17000,20000,20000
1080,EP029,Cranio-Facial resection,ENT Procedure,36550,43000,43000
1081,EP030,Angiofibroma Excision,ENT Procedure,36550,43000,43000
1082,EP031,Endoscopic Hypophysectomy,ENT Procedure,45050,53000,53000
1083,EP032,Endoscopic Optic Nerve Decompression,ENT Procedure,45050,53000,53000
1084,EP033,Tonsillectomy,ENT Procedure,23375,27500,27500
1085,EP034,Uvulo-palatoplasty,ENT Procedure,29750,35000,35000
1086,EP035,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,ENT Procedure,29750,35000,35000
1087,EP036,Functional Endoscopic Sinus Surgery (FESS) for Ethmoidal polyp,ENT Procedure,29750,35000,35000
1088,EP037,Polyp removal ear,ENT Procedure,4250,5000,5000
1089,EP038,Polyp removal Nose (Septal polyp),ENT Procedure,7225,8500,8500
1090,EP039,Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis),ENT Procedure,29750,35000,35000
1091,EP040,Endolymphatic sac decompression,ENT Procedure,36550,43000,43000
1092,EP041,Diagnostic endoscopy under GA,ENT Procedure,4250,5000,5000
1093,EP042,Young's operation for Atrophic rhinitis,ENT Procedure,17000,20000,20000
1094,EP043,Vidian neurectomy for vasomotor Rhinitis,ENT Procedure,23375,27500,27500
1095,EP044,Nasal Packing-anterior,ENT Procedure,2125,2500,2500
1096,EP045,Nasal Packing-Posterior,ENT Procedure,2550,3000,3000
1097,EP046,Ranula Excision,ENT Procedure,17000,20000,20000
1098,EP047,Tongue Tie excision,ENT Procedure,7225,8500,8500
1099,EP048,Sub Mandibular Duct Lithotomy,ENT Procedure,5780,6800,6800
1100,EP049,Adenoidectomy,ENT Procedure,17000,20000,20000
1101,EP050,Palatopharyngoplasty,ENT Procedure,29750,35000,35000
1102,EP051,Pharyngoplasty,ENT Procedure,36550,43000,43000
1103,EP052,Styloidectomy,ENT Procedure,17000,20000,20000
1104,EP053,Direct Laryngoscopy including Biopsy under GA,ENT Procedure,11390,13400,13400
1105,EP054,Oesophagoscopy with foreign body removal from Oesophagus,ENT Procedure,11390,13400,13400
1106,EP055,Bronchoscopy with foreign body (FB) removal,ENT Procedure,11390,13400,13400
1107,EP056,Ear Lobe Repair one side,ENT Procedure,3400,4000,4000
1108,EP057,Excision of Pinna for non-cancerous Growth/Injuries - Skin Only,ENT Procedure,7820,9200,9200
1109,EP058,Excision of Pinna for non-cancerous/ Injuries - Skin and Cartilage,ENT Procedure,11390,13400,13400
1110,EP059,Partial Amputation of Pinna,ENT Procedure,11390,13400,13400
1111,EP060,Total Amputation of Pinna,ENT Procedure,17000,20000,20000
1112,EP061,Total Amputation & Excision of External Auditory Meatus,ENT Procedure,17000,20000,20000
1113,EP062,Excision of Cystic Hygroma,ENT Procedure,17000,20000,20000
1114,EP063,Excision of Cystic Hygroma Extensive,ENT Procedure,23375,27500,27500
1115,EP064,Excision of Branchial Cyst,ENT Procedure,23375,27500,27500
1116,EP065,Excision of Branchial Sinus,ENT Procedure,23375,27500,27500
1117,EP066,Excision of Pharyngeal Diverticulum,ENT Procedure,23375,27500,27500
1118,EP067,Excision of Carotid Body / Carotid Body Tumours,ENT Procedure,36550,43000,43000
1119,EP068,Operation for Cervical Rib,ENT Procedure,29750,35000,35000
1120,EP069,Estlander Operation (Estlander flap in plastic surgery of lips),ENT Procedure,29750,35000,35000
1121,EP070,Abbe Operation (Abbe flap in plastic surgery of lips),ENT Procedure,23375,27500,27500
1122,EP071,Cheek Advancement,ENT Procedure,29750,35000,35000
1123,EP072,Excision of the Maxilla,ENT Procedure,36550,43000,43000
1124,EP073,Excision of mandible-segmental,ENT Procedure,29750,35000,35000
1125,EP074,Parotidectomy - Superficial,ENT Procedure,29750,35000,35000
1126,EP075,Parotidectomy - Total,ENT Procedure,36550,43000,43000
1127,EP076,Repair of Parotid Duct,ENT Procedure,23375,27500,27500
1128,EP077,Removal of Submandibular Salivary gland,ENT Procedure,23375,27500,27500
1129,EP078,Hemithyroidectomy,ENT Procedure,29750,35000,35000
1130,EP079,Partial Thyroidectomy (lobectomy),ENT Procedure,29750,35000,35000
1131,EP080,Subtotal Thyroidectomy,ENT Procedure,36550,43000,43000
1132,EP081,Total Thyroidectomy,ENT Procedure,45050,53000,53000
1133,EP082,Resection Enucleation of thyroid Adenoma,ENT Procedure,23375,27500,27500
1134,EP083,Excision of Lingual Thyroid,ENT Procedure,29750,35000,35000
1135,EP084,Excision of Thyroglossal Cyst/Duct/Fistula,ENT Procedure,29750,35000,35000
1136,EP085,Laryngectomy,ENT Procedure,45050,53000,53000
1137,EP086,Hyoid Suspension,ENT Procedure,23375,27500,27500
1138,EP087,Genioplasty,ENT Procedure,29750,35000,35000
1139,EP088,Phonosurgery,ENT Procedure,23375,27500,27500
1140,EP089,Microlaryngeal Surgery,ENT Procedure,23375,27500,27500
1141,EP090,Laryngofissure,ENT Procedure,36550,43000,43000
1142,EP091,Tracheal Stenosis Excision,ENT Procedure,36550,43000,43000
1143,EP092,Tracheostomy,ENT Procedure,11390,13400,13400
1144,CC001,"ICU/CCU/PICU/MICU/HDU (For all categories of ward entitlement, inclusive of Room Rent)",Critical Care,5400,5400,5400
1145,CC002,Compressed Air / Piped Oxygen per hour,Critical Care,85,100,100
1146,CC003,Ventilator charges (Per day) inclusive of associated disposables,Critical Care,2550,3000,3000
1147,CC004,Non invasive Ventilator charges (Per day)( inclusive of associated disposables),Critical Care,510,600,600
1148,CC005,Pneupac Ventilator in Nursery (Per day),Critical Care,2210,2600,2600
1149,CC006,Incubator charges (Per day),Critical Care,1275,1500,1500
1150,CC007,Neonatal ICU charges (Per day) inclusive of incubator,Critical Care,5400,5400,5400
1151,CC008,Exchange Transfusion,Critical Care,2975,3500,3500
1152,CC009,Phototherapy per session (up to 6 Hours),Critical Care,340,400,400
1153,CC010,Resuscitation/CPR/Intubation,Critical Care,1275,1500,1500
1154,CC011,PICC line (peripherally inserted Central Cannulisation),Critical Care,4250,5000,5000
1155,CC012,Nebulization Per Session,Critical Care,43,50,50
1156,CC013,PICC Line Removal,Critical Care,850,1000,1000
1157,CC014,Ryles Tube Insertion,Critical Care,765,900,900
1158,BC001,Blood Component Charges - Whole Blood per Unit,Blood Component Charges,1550,1550,1550
1159,BC002,Blood Component Charges - Packed Red Cell per Unit,Blood Component Charges,1550,1550,1550
1160,BC003,Blood Component Charges - Fresh Frozen Plasma,Blood Component Charges,400,400,400
1161,BC004,Platelet Concentrate- Random Donor Platelet (RDP),Blood Component Charges,400,400,400
1162,BC005,Blood Component Charges - Cryoprecipitate,Blood Component Charges,250,250,250
1163,BC006,Platelet Concentrate - Single Donor Platelet (SDP)- Apheresis per unit,Blood Component Charges,11000,11000,11000
1164,GP001,Dressings of wounds,General Procedure,255,300,300
1165,GP002,Aspiration Pleural Effusion - Diagnostic,General Procedure,595,700,700
1166,GP003,Aspiration Pleural Effusion - Therapeutic,General Procedure,595,700,700
1167,GP004,Abdominal / Peritoneal Aspiration - Diagnostic/Ascitic tapping / Paracentesis - Diagnostic,General Procedure,595,700,700
1168,GP005,Abdominal / Peritoneal Aspiration - Therapeutic/Ascitic tapping / Paracentesis - Therapeutic,General Procedure,638,750,750
1169,GP006,Removal of Sutures (All),General Procedure,170,200,200
1170,GP007,Venesection,General Procedure,595,700,700
1171,GP008,Sternal puncture,General Procedure,1700,2000,2000
1172,GP009,Urinary bladder Catheterisation,General Procedure,595,700,700
1173,GP010,Incision & Drainage under local Anaesthesia (Large),General Procedure,1955,2300,2300
1174,GP011,Intercostal Drainage,General Procedure,2975,3500,3500
1175,GP012,Drainage of abscess with anaesthesia,General Procedure,11390,13400,13400
1176,GP013,Excision of lumps under anaesthesia,General Procedure,11390,13400,13400
1177,HN001,Temporal Bone Subtotal Resection,Head and Neck Surgery,36550,43000,49450
1178,HN002,Benign Tumour Excisions of Head and Neck,Head and Neck Surgery,23375,27500,31625
1179,SK001,Excision of Moles,Skin Procedure,850,1000,1000
1180,SK002,Excision of Warts,Skin Procedure,850,1000,1000
1181,SK003,Excision of Molluscum Contagiosum,Skin Procedure,850,1000,1000
1182,SK004,Excision of Venereal Warts,Skin Procedure,850,1000,1000
1183,SK005,Excision of Corns,Skin Procedure,850,1000,1000
1184,SK006,Intradermal (ID) Injection Keloid (Intralesional Injection) including the cost of the drug,Skin Procedure,850,1000,1000
1185,SK007,Chemical Cautery (s)/Cryotherapy,Skin Procedure,850,1000,1000
1186,CI001,Electrocardiogram (ECG),Cardiology Investigation,149,175,175
1187,CI002,Treadmill Test (TMT),Cardiology Investigation,952,1120,1120
1188,CI003,Holter analysis per day,Cardiology Investigation,2125,2500,2500
1189,CI004,Ambulatory BP monitoring per day,Cardiology Investigation,850,1000,1000
1190,CI005,Head Up Tilt Test (HUTT),Cardiology Investigation,7820,9200,9200
1191,CI006,External Loop/event recording -first day Rs.1500,Cardiology Investigation,1275,1500,1500
1192,CI007,External Loop/event recording - subsequent Days 1000/day (Maximum up to 6 days),Cardiology Investigation,850,1000,1000
1193,CI008,Diagnostic Electrophysiological studies conventional (Including catheter),Cardiology Investigation,61710,72600,72600
1194,CI009,Stress Thallium / Myocardial Perfusion Scintigraphy,Cardiology Investigation,11390,13400,13400
1195,CI010,Rest Thallium / Myocardial Perfusion Scintigraphy,Cardiology Investigation,8160,9600,9600
1196,CI011,Venography,Cardiology Investigation,4250,5000,5000
1197,CI012,Lymphangiography,Cardiology Investigation,4250,5000,5000
1198,CI013,Sinogram,Cardiology Investigation,1700,2000,2000
1199,CI014,Digital Subtraction Angiography-Peripheral artery,Cardiology Investigation,12419,14610,14610
1200,CI015,Digital Subtraction Angiography- venogram,Cardiology Investigation,12419,14610,14610
1201,CI016,Coronary Angiography,Cardiology Investigation,11390,13400,13400
1202,CI017,Cardiac Catheterization (CATH),Cardiology Investigation,12665,14900,14900
1203,CP001,Balloon Coronary Angioplasty / Percutaneous transluminal coronary angioplasty (PTCA) /Percutaneous coronary intervention (PCI) with Vascular closure device (VCD) excluding the cost of Stent. Cost of Drug Eluting Balloon allowed in lieu of Stent,Cardiology Procedure,82450,97000,111550
1204,CP002,Balloon Coronary Angioplasty / Percutaneous transluminal coronary angioplasty (PTCA) / Percutaneous coronary intervention (PCI) without Vascular closure device (VCD) excluding the cost of Stent.Cost of Drug Eluting Balloon allowed in lieu of Stent,Cardiology Procedure,71166,83725,96284
1205,CP003,Rotablation excluding the cost of Rotablator Burr/Advancer,Cardiology Procedure,52553,61827,71101
1206,CP004,Balloon Mitral Valvotomy / Percutaneous Transvenous Mitral Commissurotomy (PTMC),Cardiology Procedure,82450,97000,111550
1207,CP005,Temporary Pacemaker Implantation (TPI) (Temporary Cardiac Pacing) Single Chamber,Cardiology Procedure,17952,21120,24288
1208,CP006,Permanent pacemaker implantation (PPI)- Single Chamber excluding the cost of Pacemaker,Cardiology Procedure,29920,35200,40480
1209,CP007,Permanent pacemaker implantation- Dual Chamber excluding the cost of Pacemaker,Cardiology Procedure,40205,47300,54395
1210,CP008,Permanent pacemaker implantation (PPI)- Biventricular excluding the cost of pacemaker,Cardiology Procedure,46400,54588,62776
1211,CP009,Automatic implantable cardioverter defibrillator (AICD) Single Chamber - excluding the cost of Device,Cardiology Procedure,46750,55000,63250
1212,CP010,Automatic implantable cardioverter defibrillator (AICD) Dual Chamber excluding the cost of Device,Cardiology Procedure,48947,57585,66223
1213,CP011,Combo Device Implantation excluding the cost of Device,Cardiology Procedure,55165,64900,74635
1214,CP012,Radiofrequency (RF) Ablation Conventional,Cardiology Procedure,82450,97000,111550
1215,CP013,Radiofrequency (RF) Ablation Atrial Tachycardia/CARTO,Cardiology Procedure,153000,180000,207000
1216,CP014,Intra-aortic balloon pump (IABP) excluding the cost of the balloon,Cardiology Procedure,29750,35000,40250
1217,CP015,Intra vascular coiling excluding cost of the coils,Cardiology Procedure,64600,76000,87400
1218,CP016,Balloon Septostomy,Cardiology Procedure,28050,33000,37950
1219,CP017,Aortic Valve Balloon Dilatation (AVBD) / Pulmonary Valve Balloon Dilatation (PVBD),Cardiology Procedure,52734,62040,71346
1220,CP018,Peripheral Angioplasty with Vascular Closure Device (VCD) excluding the cost of Stent,Cardiology Procedure,51893,61050,70208
1221,CP019,Peripheral Angioplasty without Vascular Closure Device (VCD) excluding the cost of Stent,Cardiology Procedure,45050,53000,60950
1222,CP020,Renal Angioplasty excluding the cost of Stent,Cardiology Procedure,51425,60500,69575
1223,CP021,"Transcatheter Aortic Valve Implantation (TAVI) / Transcatheter Aortic Valve Replacement (TAVR) - Procedure Cost. (Approval of Director, CGHS in consultation with Special Technical Committee (STC) is required for this procedure)",Cardiology Procedure,85000,100000,115000
1224,CP022,TAVI / TAVR Implant (cost of implant only),Cardiology Implant(Valve),1284000,1284000,1284000
1225,CP023,Cost of Intravascular ultrasound (IVUS) Catheter excluding GST(Procedure Charge included in PTCA),Cardiology Add on Procedure,55000,55000,55000
1226,CP024,Cost of Fractional flow reserve (FFR) Catheter excluding GST (Procedure Charge included in PTCA),Cardiology Add on Procedure,33000,33000,33000
1227,CP025,Catheter cost of Intracoronary optical coherence tomography (OCT) / Intravascular optical coherence tomography (IVOCT) / Intravascular Ventricular Assist System excluding GST(Procedure cost is included in PTCA),Cardiology Add on Procedure,65000,65000,65000
1228,CP026,"IVL (Coronary Intra vascular Lithotripsy / Shock wave Lithotripsy - Including GST (Approval of Director, CGHS in consultation with Special Technical Committee (STC) is required for this procedure)",Cardiology Add on Procedure,268000,268000,268000
1229,CV001,Varicose vein Surgery-Trendelenburg Operation with Suturing or Ligation,Cardiovascular And Cardiac Surgery Procedure,21505,25300,29095
1230,CV002,Radio Ablation of Varicose Veins (RFA Ablation) excluding the cost of RFA Catheter,Cardiovascular And Cardiac Surgery Procedure,7948,9350,10753
1231,CV003,Laser Ablation of Varicose Veins,Cardiovascular And Cardiac Surgery Procedure,37400,44000,50600
1232,CV004,Atrial Septal Defect (ASD) closure excluding the cost of the Device,Cardiovascular And Cardiac Surgery Procedure,93500,110000,126500
1233,CV005,Ventricular Septal Defect (VSD) with Graft / VSD Device Closure excluding the cost of the Device,Cardiovascular And Cardiac Surgery Procedure,102000,120000,138000
1234,CV006,Tetralogy of Fallot (TOF)/TAPVC/TCPC/REV/RSOV repair,Cardiovascular And Cardiac Surgery Procedure,153000,180000,207000
1235,CV007,BD Glenn/Left Atrium Myxoma,Cardiovascular And Cardiac Surgery Procedure,153000,180000,207000
1236,CV008,CGHS rates for Senning/Arterial Switch Operation (ASO) with graft,Cardiovascular And Cardiac Surgery Procedure,153000,180000,207000
1237,CV009,Double Switch Operation (DSO),Cardiovascular And Cardiac Surgery Procedure,200600,236000,271400
1238,CV010,Atrioventricular(AV) Canal Repair,Cardiovascular And Cardiac Surgery Procedure,200600,236000,271400
1239,CV011,Fontan Procedure,Cardiovascular And Cardiac Surgery Procedure,232900,274000,315100
1240,CV012,Conduit Repair,Cardiovascular And Cardiac Surgery Procedure,200600,236000,271400
1241,CV013,Coronary Artery Bypass Graft surgery (CABG),Cardiovascular And Cardiac Surgery Procedure,153000,180000,207000
1242,CV014,Coronary Artery Bypass Graft surgery (CABG) + Intra-Aortic Balloon Pump (IABP),Cardiovascular And Cardiac Surgery Procedure,200600,236000,271400
1243,CV015,Coronary Artery Bypass Graft surgery (CABG) + Valve Replacement excluding the cost of the valve,Cardiovascular And Cardiac Surgery Procedure,232900,274000,315100
1244,CV016,CABG without bypass.,Cardiovascular And Cardiac Surgery Procedure,200600,236000,271400
1245,CV017,Ascending Aorta Replacement,Cardiovascular And Cardiac Surgery Procedure,232900,274000,315100
1246,CV018,Double Valve Replacement (DVR),Cardiovascular And Cardiac Surgery Procedure,200600,236000,271400
1247,CV019,Mitral valve Replacement(MVR)/ Aortic valve Replacement (AVR)/ Tricuspid Valve Replacement (TVR) / Pulmonary valve replacement (PVR),Cardiovascular And Cardiac Surgery Procedure,153000,180000,207000
1248,CV020,Mitral valve (MV) Repair + Aortic valve (AV) Repair / Tricuspid Valve (TV) Repair + Pulmonary valve (PV) repair,Cardiovascular And Cardiac Surgery Procedure,153000,180000,207000
1249,CV021,Aorta Femoral Bypass,Cardiovascular And Cardiac Surgery Procedure,109650,129000,148350
1250,CV022,Blalock-Taussig Shunt (BT Shunt) / Coarctation,Cardiovascular And Cardiac Surgery Procedure,129200,152000,174800
1251,CV023,Pulmonary Artery Banding (PA Banding) Septostomy,Cardiovascular And Cardiac Surgery Procedure,129200,152000,174800
1252,CV024,Pericardiocentesis,Cardiovascular And Cardiac Surgery Procedure,8500,10000,10000
1253,CV025,Pericardiectomy,Cardiovascular And Cardiac Surgery Procedure,129200,152000,174800
1254,CV026,Patent Ductus Arteriosus (PDA)-Device Closure,Cardiovascular And Cardiac Surgery Procedure,93500,110000,126500
1255,CV027,"Heart Transplant Surgery (As per Guidelines mentioned in OM.No. Z- 42011/11/2021-MG/EHS Dated 1st December, 2023)",Cardiovascular And Cardiac Surgery Procedure,1500000,1500000,1500000
1256,CV028,Aortic Arch Replacement,Cardiovascular And Cardiac Surgery Procedure,232900,274000,315100
1257,CV029,Aortic Dissection,Cardiovascular And Cardiac Surgery Procedure,232900,274000,315100
1258,CV030,Thoraco Abdominal Aneurysm Repair,Cardiovascular And Cardiac Surgery Procedure,200600,236000,271400
1259,CV031,Embolectomy,Cardiovascular And Cardiac Surgery Procedure,64600,76000,87400
1260,CV032,Vascular Repair,Cardiovascular And Cardiac Surgery Procedure,64600,76000,87400
1261,CV033,Bentall Repair with Prosthetic Valve,Cardiovascular And Cardiac Surgery Procedure,232900,274000,315100
1262,CV034,Bentall Repair with Biologic Valve,Cardiovascular And Cardiac Surgery Procedure,200600,236000,271400
1263,CV035,Coarctation dilatation / Balloon dilatation of Aortic coarctation -Excluding the cost of Balloon,Cardiovascular And Cardiac Surgery Procedure,66946,78760,90574
1264,CV036,Coarctation dilatation with Stenting,Cardiovascular And Cardiac Surgery Procedure,53550,63000,72450
1265,CV037,Septostomy- Blade,Cardiovascular And Cardiac Surgery Procedure,53550,63000,72450
1266,CV038,Aortic stent grafting for aortic aneurysm,Cardiovascular And Cardiac Surgery Procedure,153000,180000,207000
1267,CV039,Inferior Vena Cava (IVC) filter implantation- excluding the cost of filter,Cardiovascular And Cardiac Surgery Procedure,28050,33000,37950
1268,CV040,Video Assisted Thoracoscopic Surgery (VATS) for Decortication of Lungs/Thymectomy/Other Major Surgeries,Cardiovascular And Cardiac Surgery Procedure,153000,180000,207000
1269,GS001,Sclerotherapy Injection / Banding of Haemorrhoids (cost of drug/sclerotherapy agent/band extra),General Surgery,595,700,700
1270,GS002,Injection for Varicose Veins (cost of drug/sclerotherapy agent extra),General Surgery,595,700,700
1271,GS003,Suturing of small wounds,General Surgery,1169,1375,1375
1272,GS004,Secondary suture of wounds,General Surgery,3740,4400,4400
1273,GS005,Debridement of wounds - Small,General Surgery,1403,1650,1650
1274,GS006,Phimosis Under LA,General Surgery,5100,6000,6000
1275,GS007,Removal Of Foreign Bodies -without C-ARM,General Surgery,1275,1500,1500
1276,GS008,Toe Nail Removal,General Surgery,850,1000,1000
1277,GS009,Excision of Cervical Lymph Node under Local Anaesthesia,General Surgery,2635,3100,3100
1278,GS010,Excision of Axillary Lymph Node under General Anaesthesia,General Surgery,7225,8500,8500
1279,GS011,Excision of Inguinal Lymph Node under Local Anaesthesia,General Surgery,2550,3000,3000
1280,GS012,Excision of Sebaceous Cysts,General Surgery,4250,5000,5000
1281,GS013,Excision of Superficial Lipoma,General Surgery,4250,5000,5000
1282,GS014,Excision of Superficial Neurofibroma,General Surgery,4250,5000,5000
1283,GS015,Excision of Dermoid Cysts,General Surgery,4250,5000,5000
1284,GS016,Excision of Keloid,General Surgery,7820,9200,9200
1285,GS017,Excision of mammary fistula,General Surgery,23375,27500,27500
1286,GS018,Haemorrhoidectomy,General Surgery,28050,33000,33000
1287,GS019,Stapler haemorrhoidectomy excluding the cost of Stapler,General Surgery,29750,35000,35000
1288,GS020,Debridement of Large wounds including Diabetic Wound under Anaesthesia,General Surgery,23375,27500,27500
1289,GI001,Gastro Oesophageal Reflux Study (GER Study),Gastro and Hepatobiliary Investigation,2550,3000,3000
1290,GI002,Meckel's Scan,Gastro and Hepatobiliary/Nuclear Medicine Investigation,2550,3000,3000
1291,GI003,Hepatobiliary Scintigraphy.,Gastro and Hepatobiliary/Nuclear Medicine Investigation,3400,4000,4000
1292,GI004,Gastrointestinal Bleed (GloB.) Study with Technetium 99m labeled RBCs.,Gastro and Hepatobiliary/Nuclear Medicine Investigation,5100,6000,6000
1293,GI005,Gastric Emptying,Gastro and Hepatobiliary/Nuclear Medicine Investigation,2125,2500,2500
1294,GI006,Hepatosplenic scintigraphy with Technetium-99m radiopharmaceuticals,Gastro and Hepatobiliary/Nuclear Medicine Investigation,4250,5000,5000
1295,GI007,Diagnostic Angiography,Gastroenterology/Interventional Radiology Investigation,7820,9200,9200
1296,GI008,Oesophageal pH metry,Gastroenterology / Endoscopic Procedures,7820,9200,9200
1297,GI009,Oesophageal Manometry,Gastroenterology / Endoscopic Procedures,7820,9200,9200
1298,GI010,Small Bowel Manometry,Gastroenterology / Endoscopic Procedures,8500,10000,10000
1299,GI011,Anorectal manometry,Gastroenterology / Endoscopic Investigation,36550,43000,43000
1300,GI012,Colonic manometry,Gastroenterology / Endoscopic Investigation,29750,35000,35000
1301,GI013,Biliary Manometry,Gastroenterology / Endoscopic Investigation,36550,43000,43000
1302,GI014,Breath Tests (Urea breath test/ H. pylori breath test)/RUT,Gastroenterology / Endoscopic Investigation,2457,2890,2890
1303,MG001,Gastroscopy/Upper GI Endoscopy with or without Biopsy,Gastroenterology / Endoscopic Procedures,3400,4000,4000
1304,MG002,Lower GI Endoscopy(Colonoscopy/Sigmoidoscopy) with or without Biopsy,Gastroenterology / Endoscopic Procedures,5100,6000,6000
1305,MG003,Endoscopic mucosal resection,Gastroenterology / Endoscopic Procedures,11390,13400,13400
1306,MG004,Endoscopic Polypectomy - GIT,Gastroenterology / Endoscopic Procedures,17000,20000,20000
1307,MG005,Oesophageal Stricture dilatation,Gastroenterology / Endoscopic Procedures,7820,9200,9200
1308,MG006,Balloon dilatation of achalasia cardia,Gastroenterology / Endoscopic Procedures,11390,13400,13400
1309,MG007,Gastrointestinal (GIT) Foreign body removal,Gastroenterology / Endoscopic Procedures,17000,20000,20000
1310,MG008,Oesophageal stenting excluding the cost of stent,Gastroenterology / Endoscopic Procedures,11390,13400,13400
1311,MG009,Band ligation of oesophageal varices,Gastroenterology / Endoscopic Procedures,7225,8500,8500
1312,MG010,Sclerotherapy of oesophageal varices,Gastroenterology / Endoscopic Procedures,7225,8500,8500
1313,MG011,Glue injection of varices,Gastroenterology / Endoscopic Procedures,11390,13400,13400
1314,MG012,Argon plasma coagulation,Gastroenterology / Endoscopic Procedures,7820,9200,9200
1315,MG013,Pyloric balloon dilatation,Gastroenterology / Endoscopic Procedures,7225,8500,8500
1316,MG014,Enteral stenting excluding cost of the stent,Gastroenterology / Endoscopic Procedures,17000,20000,20000
1317,MG015,Duodenal stricture dilation,Gastroenterology / Endoscopic Procedures,7225,8500,8500
1318,MG016,Single balloon enteroscopy,Gastroenterology / Endoscopic Procedures,11390,13400,13400
1319,MG017,Double balloon enteroscopy,Gastroenterology / Endoscopic Procedures,17000,20000,20000
1320,MG018,Capsule endoscopy excluding the cost of capsule,Gastroenterology / Endoscopic Procedures,11390,13400,13400
1321,MG019,Piles banding,Gastroenterology / Endoscopic Procedures,4250,5000,5000
1322,MG020,Colonic stricture dilatation,Gastroenterology / Endoscopic Procedures,7225,8500,8500
1323,MG021,Hot biopsy forceps procedures,Gastroenterology / Endoscopic Procedures,7225,8500,8500
1324,MG022,Colonic stenting excluding cost of the stent,Gastroenterology / Endoscopic Procedures,11390,13400,13400
1325,MG023,Junction biopsy,Gastroenterology / Endoscopic Procedures,4250,5000,5000
1326,MG024,Conjugal microscopy,Gastroenterology / Endoscopic Procedures,7225,8500,8500
1327,MG025,ERCP (Endoscopic Retrograde Cholangio - Pancreatography) Diagnostic,Gastro and Hepatobiliary Investigation,11390,13400,13400
1328,MG026,Endoscopic sphincterotomy by ERCP,Gastroenterology / Endoscopic Procedures,17000,20000,23000
1329,MG027,Common Bile Duct (CBD) stone extraction by ERCP,Gastroenterology / Endoscopic Procedures,17000,20000,23000
1330,MG028,Common Bile Duct (CBD) stricture dilatation by ERCP,Gastroenterology / Endoscopic Procedures,17000,20000,23000
1331,MG029,Biliary stenting (plastic and metallic) by ERCP,Gastroenterology / Endoscopic Procedures,17000,20000,23000
1332,MG030,Mechanical lithotripsy of CBD stones by ERCP,Gastroenterology / Endoscopic Procedures,29750,35000,40250
1333,MG031,Pancreatic sphincterotomy by ERCP,Gastroenterology / Endoscopic Procedures,17000,20000,23000
1334,MG032,Pancreatic stricture dilatation by ERCP,Gastroenterology / Endoscopic Procedures,17000,20000,23000
1335,MG033,Pancreatic stone extraction by ERCP,Gastroenterology / Endoscopic Procedures,17000,20000,23000
1336,MG034,Mechanical lithotripsy of pancreatic stones,Gastroenterology / Endoscopic Procedures,29750,35000,40250
1337,MG035,Endoscopic cysto gastrostomy,Gastroenterology / Endoscopic Procedures,17000,20000,23000
1338,MG036,Balloon dilatation of papilla,Gastroenterology / Endoscopic Procedures,17000,20000,23000
